sentence_id,text,entity,label,start,end
3,Peter Blackburn,Peter Blackburn,PERSON,0,15
5,The European Commission said on Thursday it disagreed with German advice to consumers to shun British lamb until scientists determine whether mad cow disease can be transmitted to sheep .,The European,PERSON,0,12
6,Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .,Germany,GPE,0,7
6,Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .,European Union,PERSON,33,47
6,Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .,Werner Zwingmann,PERSON,72,88
6,Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .,Britain,GPE,164,171
8,He said further scientific study was required and if it was found that action was needed it should be taken by the European Union .,European Union,PERSON,115,129
9,"He said a proposal last month by EU Farm Commissioner Franz Fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .",Farm Commissioner,PERSON,36,53
9,"He said a proposal last month by EU Farm Commissioner Franz Fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .",Franz Fischler,PERSON,54,68
10,Fischler proposed EU-wide measures after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .,Britain,GPE,54,61
10,Fischler proposed EU-wide measures after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .,France,GPE,66,72
10,Fischler proposed EU-wide measures after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .,Bovine Spongiform,PERSON,127,144
11,"But Fischler agreed to review his proposal after the EU 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .",But Fischler,PERSON,0,12
12,"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,Spanish Farm,PERSON,0,12
12,"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,Minister Loyola,PERSON,13,28
14,Only France and Britain backed Fischler 's proposal .,Only France,PERSON,0,11
14,Only France and Britain backed Fischler 's proposal .,Britain,GPE,16,23
18,""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio .",Germany,GPE,83,90
18,""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio .",Welsh National,PERSON,103,117
18,""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio .",John Lloyd,PERSON,151,161
20,"Germany imported 47,600 sheep from Britain last year , nearly half of total imports .",Germany,GPE,0,7
20,"Germany imported 47,600 sheep from Britain last year , nearly half of total imports .",Britain,GPE,35,42
23,"Rare Hendrix song draft sells for almost $ 17,000 .",Rare Hendrix,PERSON,0,12
