Sentence #,Word,POS,Chunk,Tag
2,EU,NNP,B-NP,B-ORG
2,rejects,VBZ,B-VP,O
2,German,JJ,B-NP,B-MISC
2,call,NN,I-NP,O
2,to,TO,B-VP,O
2,boycott,VB,I-VP,O
2,British,JJ,B-NP,B-MISC
2,lamb,NN,I-NP,O
2,.,.,O,O
3,Peter,NNP,B-NP,B-PER
3,Blackburn,NNP,I-NP,I-PER
4,BRUSSELS,NNP,B-NP,B-LOC
4,1996-08-22,CD,I-NP,O
5,The,DT,B-NP,O
5,European,NNP,I-NP,B-ORG
5,Commission,NNP,I-NP,I-ORG
5,said,VBD,B-VP,O
5,on,IN,B-PP,O
5,Thursday,NNP,B-NP,O
5,it,PRP,B-NP,O
5,disagreed,VBD,B-VP,O
5,with,IN,B-PP,O
5,German,JJ,B-NP,B-MISC
5,advice,NN,I-NP,O
5,to,TO,B-PP,O
5,consumers,NNS,B-NP,O
5,to,TO,B-VP,O
5,shun,VB,I-VP,O
5,British,JJ,B-NP,B-MISC
5,lamb,NN,I-NP,O
5,until,IN,B-SBAR,O
5,scientists,NNS,B-NP,O
5,determine,VBP,B-VP,O
5,whether,IN,B-SBAR,O
5,mad,JJ,B-NP,O
5,cow,NN,I-NP,O
5,disease,NN,I-NP,O
5,can,MD,B-VP,O
5,be,VB,I-VP,O
5,transmitted,VBN,I-VP,O
5,to,TO,B-PP,O
5,sheep,NN,B-NP,O
5,.,.,O,O
6,Germany,NNP,B-NP,B-LOC
6,'s,POS,B-NP,O
6,representative,NN,I-NP,O
6,to,TO,B-PP,O
6,the,DT,B-NP,O
6,European,NNP,I-NP,B-ORG
6,Union,NNP,I-NP,I-ORG
6,'s,POS,B-NP,O
6,veterinary,JJ,I-NP,O
6,committee,NN,I-NP,O
6,Werner,NNP,I-NP,B-PER
6,Zwingmann,NNP,I-NP,I-PER
6,said,VBD,B-VP,O
6,on,IN,B-PP,O
6,Wednesday,NNP,B-NP,O
6,consumers,NNS,I-NP,O
6,should,MD,B-VP,O
6,buy,VB,I-VP,O
6,sheepmeat,NN,B-NP,O
6,from,IN,B-PP,O
6,countries,NNS,B-NP,O
6,other,JJ,B-ADJP,O
6,than,IN,B-PP,O
6,Britain,NNP,B-NP,B-LOC
6,until,IN,B-SBAR,O
6,the,DT,B-NP,O
6,scientific,JJ,I-NP,O
6,advice,NN,I-NP,O
6,was,VBD,B-VP,O
6,clearer,JJR,B-ADJP,O
6,.,.,O,O
7,"""","""",O,O
7,We,PRP,B-NP,O
7,do,VBP,B-VP,O
7,n't,RB,I-VP,O
7,support,VB,I-VP,O
7,any,DT,B-NP,O
7,such,JJ,I-NP,O
7,recommendation,NN,I-NP,O
7,because,IN,B-SBAR,O
7,we,PRP,B-NP,O
7,do,VBP,B-VP,O
7,n't,RB,I-VP,O
7,see,VB,I-VP,O
7,any,DT,B-NP,O
7,grounds,NNS,I-NP,O
7,for,IN,B-PP,O
7,it,PRP,B-NP,O
7,",",",",O,O
7,"""","""",O,O
7,the,DT,B-NP,O
7,Commission,NNP,I-NP,B-ORG
7,'s,POS,B-NP,O
7,chief,JJ,I-NP,O
7,spokesman,NN,I-NP,O
7,Nikolaus,NNP,I-NP,B-PER
7,van,NNP,I-NP,I-PER
7,der,FW,I-NP,I-PER
7,Pas,NNP,I-NP,I-PER
7,told,VBD,B-VP,O
7,a,DT,B-NP,O
7,news,NN,I-NP,O
7,briefing,NN,I-NP,O
7,.,.,O,O
8,He,PRP,B-NP,O
8,said,VBD,B-VP,O
8,further,JJ,B-NP,O
8,scientific,JJ,I-NP,O
8,study,NN,I-NP,O
8,was,VBD,B-VP,O
8,required,VBN,I-VP,O
8,and,CC,O,O
8,if,IN,B-SBAR,O
8,it,PRP,B-NP,O
8,was,VBD,B-VP,O
8,found,VBN,I-VP,O
8,that,IN,B-SBAR,O
8,action,NN,B-NP,O
8,was,VBD,B-VP,O
8,needed,VBN,I-VP,O
8,it,PRP,B-NP,O
8,should,MD,B-VP,O
8,be,VB,I-VP,O
8,taken,VBN,I-VP,O
8,by,IN,B-PP,O
8,the,DT,B-NP,O
8,European,NNP,I-NP,B-ORG
8,Union,NNP,I-NP,I-ORG
8,.,.,O,O
9,He,PRP,B-NP,O
9,said,VBD,B-VP,O
9,a,DT,B-NP,O
9,proposal,NN,I-NP,O
9,last,JJ,B-NP,O
9,month,NN,I-NP,O
9,by,IN,B-PP,O
9,EU,NNP,B-NP,B-ORG
9,Farm,NNP,I-NP,O
9,Commissioner,NNP,I-NP,O
9,Franz,NNP,I-NP,B-PER
9,Fischler,NNP,I-NP,I-PER
9,to,TO,B-VP,O
9,ban,VB,I-VP,O
9,sheep,NN,B-NP,O
9,brains,NNS,I-NP,O
9,",",",",O,O
9,spleens,NNS,B-NP,O
9,and,CC,O,O
9,spinal,JJ,B-NP,O
9,cords,NNS,I-NP,O
9,from,IN,B-PP,O
9,the,DT,B-NP,O
9,human,NN,I-NP,O
9,and,CC,I-NP,O
9,animal,NN,I-NP,O
9,food,NN,I-NP,O
9,chains,NNS,I-NP,O
9,was,VBD,B-VP,O
9,a,DT,B-NP,O
9,highly,RB,I-NP,O
9,specific,JJ,B-ADJP,O
9,and,CC,I-ADJP,O
9,precautionary,JJ,I-ADJP,O
9,move,NN,B-NP,O
9,to,TO,B-VP,O
9,protect,VB,I-VP,O
9,human,JJ,B-NP,O
9,health,NN,I-NP,O
9,.,.,O,O
10,Fischler,JJR,B-NP,B-PER
10,proposed,VBN,I-NP,O
10,EU-wide,NNP,I-NP,B-MISC
10,measures,VBZ,B-VP,O
10,after,IN,B-PP,O
10,reports,NNS,B-NP,O
10,from,IN,B-PP,O
10,Britain,NNP,B-NP,B-LOC
10,and,CC,I-NP,O
10,France,NNP,I-NP,B-LOC
10,that,WDT,B-NP,O
10,under,IN,B-PP,O
10,laboratory,NN,B-NP,O
